GEOID,INDUSTRY_CODE,SOURCE_NAICS,ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT_NOISE_FLAG,FIRST_QUARTER_PAYROLL_THOUSANDS,FIRST_QUARTER_PAYROLL_NOISE_FLAG,ANNUAL_PAYROLL_THOUSANDS,ANNUAL_PAYROLL_NOISE_FLAG
06079,51,51----,154,2433,G,64107,G,256359,G
06079,52,52----,379,1940,H,54001,G,186647,G
06079,53,53----,522,2034,G,24248,G,112212,G
06079,54,54----,1036,5638,G,105897,G,459334,G
06079,55,55----,30,427,G,7252,G,29957,G
06079,56,56----,467,5228,G,68510,G,282317,G
06079,61,61----,131,3209,H,15786,G,65480,G
06079,62,62----,1221,16799,G,263191,G,1116230,G
06079,71,71----,155,1634,G,9255,G,41975,G
06079,72,72----,1086,18281,G,128473,G,555465,G
06079,81,81----,632,4158,G,35977,G,152574,G
06079,99,99----,8,7,G,60,G,259,G
06081,TOTAL,------,21569,477938,G,22999332,G,87650568,H
06081,11,11----,32,79,G,763,G,3821,G
06081,21,21----,7,87,J,2947,J,15564,J
06081,22,22----,15,942,H,48842,H,174884,H
06081,23,23----,1985,20656,G,562197,G,2143332,G
06081,31,31----,497,24534,H,1609623,J,4544375,J
06081,42,42----,870,18282,H,1461964,H,4372607,H
06081,44,44----,1827,32272,G,456288,G,1677873,G
06081,48,48----,652,33718,G,695394,G,2780603,G
06081,51,51----,700,112818,H,9841509,H,41099054,H
06081,52,52----,1274,22092,G,1790995,G,6723413,G
06081,53,53----,1459,7680,G,192743,G,717965,G
06081,54,54----,3464,59007,G,3247635,G,11559199,G
06081,55,55----,207,10969,H,842660,H,2835528,H
06081,56,56----,1117,21397,G,368776,G,1444249,G
06081,61,61----,493,8595,G,139078,G,575124,G
06081,62,62----,2694,46206,G,1120795,G,4381399,G
06081,71,71----,350,8040,G,53994,G,231835,G
06081,72,72----,2180,38716,G,353075,G,1500871,G
06081,81,81----,1726,11806,G,209307,G,865726,G
06081,99,99----,20,42,H,747,G,3146,G
06083,TOTAL,------,12484,160460,G,2714623,G,11082847,G
06083,11,11----,60,1086,G,20395,H,83512,G
06083,21,21----,24,453,H,10849,H,41020,H
06083,22,22----,17,357,J,15487,J,53654,J
06083,23,23----,1294,9671,G,155344,G,676881,G
06083,31,31----,522,13855,G,295984,G,1168310,G
06083,42,42----,412,6624,H,197715,H,735723,H
06083,44,44----,1479,19196,G,185590,G,769518,G
06083,48,48----,262,3631,G,56502,G,231884,G
06083,51,51----,256,6867,H,244001,H,969522,H
06083,52,52----,596,4023,G,129414,G,447418,G
06083,53,53----,825,3174,G,43203,G,191216,G
06083,54,54----,1569,11880,G,343731,H,1416341,G
06083,55,55----,44,3982,H,119731,H,499758,H
06083,56,56----,717,9317,G,108499,G,486665,G
06083,61,61----,219,3974,G,40204,G,166009,G
06083,62,62----,1558,25081,G,419120,G,1748532,G
06083,71,71----,300,3258,G,32876,G,145052,G
06083,72,72----,1265,27136,G,222043,G,941758,G
06083,81,81----,1052,6876,G,73661,G,308983,G
06083,99,99----,13,19,J,274,H,1091,G
06085,TOTAL,------,49154,1171397,G,50293194,G,212780215,G
06085,11,11----,30,445,J,6073,H,27106,J
06085,21,21----,8,167,J,3803,H,17660,H
06085,22,22----,31,2864,G,122764,H,455895,G
06085,23,23----,3951,51335,G,1272191,G,5333243,G
06085,31,31----,1984,93489,G,3997452,G,13867372,G
06085,42,42----,2084,77599,G,4330116,G,16820458,G
06085,44,44----,4260,78955,G,1105303,G,4352055,G
06085,48,48----,842,14771,G,251056,G,990959,G
06085,51,51----,1899,179629,G,16279090,H,67810907,H
06085,52,52----,2268,30984,H,2085188,H,6029963,H
06085,53,53----,3123,15118,G,368409,G,1442560,G
06085,54,54----,8686,166741,G,7947388,G,31866479,G
06085,55,55----,227,82154,H,5640566,H,34888698,H
06085,56,56----,2277,54284,G,781698,G,3185753,G
06085,61,61----,1181,59562,H,1245675,H,5324396,H
06085,62,62----,6360,129919,G,3406929,G,14530058,G
06085,71,71----,705,17538,G,319010,G,1192143,G
06085,72,72----,5103,86920,G,728283,G,3003228,G
06085,81,81----,3887,28788,G,399848,G,1623016,G
06085,99,99----,248,135,G,2352,H,18266,G
06087,TOTAL,------,7136,80209,G,1210635,G,4955129,G
06087,11,11----,21,101,G,1177,H,7199,H
06087,21,21----,6,27,J,520,G,2455,G
06087,22,22----,12,197,H,9065,H,31096,H
06087,23,23----,899,4692,G,74794,G,348867,G
06087,31,31----,278,4775,G,85500,G,352629,G
06087,42,42----,260,4437,G,90622,G,349605,G
06087,44,44----,809,11709,G,110218,G,462676,G
06087,48,48----,103,1583,G,17845,G,78638,G
06087,51,51----,114,1017,H,24934,H,99038,H
06087,52,52----,264,2428,G,69667,G,240772,G
06087,53,53----,413,1585,G,21112,G,92049,G
06087,54,54----,910,5218,H,135896,H,574312,H
06087,55,55----,28,1593,H,64214,J,197589,H
06087,56,56----,387,3977,G,56217,G,230306,G
06087,61,61----,179,2462,G,24817,G,101361,G
06087,62,62----,959,14755,G,265447,G,1087344,G
06087,71,71----,156,2744,H,23430,H,107384,H
06087,72,72----,726,12475,G,85852,G,384238,G
06087,81,81----,607,4425,G,49086,G,206828,G
06087,99,99----,5,9,J,222,H,743,H
06089,TOTAL,------,4508,53944,G,691969,G,2907552,G
06089,11,11----,32,472,H,11187,H,41174,H
06089,21,21----,5,91,J,1203,J,4863,J
06089,22,22----,12,364,J,18851,J,61041,J
06089,23,23----,555,3472,G,52130,G,287820,G
06089,31,31----,136,2141,H,43763,H,148281,H
06089,42,42----,166,1634,G,29500,G,110172,G
06089,44,44----,618,9788,G,96282,G,390513,G
06089,48,48----,127,1457,G,19185,G,84632,G
06089,51,51----,79,776,H,11407,H,45346,H
06089,52,52----,233,1972,G,39328,H,150653,H
06089,53,53----,238,974,G,12961,G,53097,G
06089,54,54----,417,2490,G,39055,G,180442,G
06089,55,55----,11,498,G,13416,G,53797,G
06089,56,56----,230,3484,G,39891,G,180369,G
06089,61,61----,68,1458,G,13374,G,56124,G
06089,62,62----,666,11895,G,172024,H,728739,H
06089,71,71----,74,856,H,4809,G,21760,H
06089,72,72----,417,7157,G,46565,G,193919,G
06089,81,81----,419,2963,G,27021,G,114611,G
06089,99,99----,5,2,J,17,J,199,G
06091,TOTAL,------,72,204,H,1524,G,10096,G
06091,11,11----,3,5,G,39,J,899,H
06091,23,23----,13,26,G,308,G,2151,G
06091,44,44----,6,26,G,221,G,924,G
06091,53,53----,5,4,G,27,J,200,J
06091,56,56----,4,2,G,11,J,131,G
06091,62,62----,8,45,H,323,G,1862,G
06091,72,72----,22,80,G,526,G,3502,G
06091,81,81----,3,6,J,16,J,81,H
06093,TOTAL,------,1070,8455,G,94932,G,402521,G
06093,11,11----,34,170,H,2158,H,14867,H
06093,21,21----,3,18,J,409,G,1464,G
06093,22,22----,9,46,J,1691,J,6580,J
06093,23,23----,121,447,G,5472,G,30629,G
06093,31,31----,27,611,G,9430,G,36043,G
06093,42,42----,24,232,G,2372,G,9479,G
06093,44,44----,163,1557,H,14075,G,54603,G
06093,48,48----,42,202,H,2396,H,11412,H
06093,51,51----,19,152,H,3053,H,11550,H
06093,52,52----,47,185,G,2994,G,11191,G
06093,53,53----,51,91,G,807,G,3711,G
06093,54,54----,77,270,G,3084,G,14646,G
06093,56,56----,53,298,G,2860,G,12299,G
06093,61,61----,7,22,G,273,H,1428,G
06093,62,62----,115,1726,G,27933,G,113755,G
06093,71,71----,23,367,J,2370,H,6260,H
06093,72,72----,144,1579,G,10140,G,46259,G
06093,81,81----,105,468,G,3262,G,15279,G
06093,99,99----,4,2,G,8,J,90,G
06095,TOTAL,------,7755,122010,G,1884886,G,7707153,G
06095,11,11----,12,39,H,286,H,1315,H
06095,21,21----,5,168,H,3503,H,14610,H
06095,22,22----,17,708,J,38330,J,122765,J
06095,23,23----,858,11045,G,259338,G,1139553,G
06095,31,31----,247,9869,G,198799,G,767641,G
06095,42,42----,277,5632,G,115624,G,430572,G
06095,44,44----,1012,19054,G,189283,G,773827,G
06095,48,48----,371,7052,G,72007,G,319568,G
06095,51,51----,87,1213,H,22356,H,82422,H
06095,52,52----,318,3022,G,70624,G,269173,G
06095,53,53----,437,2034,G,29017,G,119573,G
06095,54,54----,607,4811,G,82415,G,340683,G
06095,55,55----,30,1536,G,30995,G,131899,G
06095,56,56----,431,7312,G,78650,G,315917,G
06095,61,61----,106,2283,H,26871,H,116763,H
06095,62,62----,1160,24440,H,505289,H,2081080,H
06095,71,71----,114,2377,G,15030,G,64705,H
06095,72,72----,860,14186,G,90088,G,376065,G
06095,81,81----,797,5203,G,56006,G,237462,G
06095,99,99----,9,26,G,375,H,1560,H
06097,TOTAL,------,14572,177367,G,2943573,G,12281477,G
06097,11,11----,81,433,G,5472,H,23278,G
06097,21,21----,12,201,H,3949,H,17685,H
06097,22,22----,16,751,J,38857,J,126006,J
06097,23,23----,2253,16204,G,296220,G,1344723,G
06097,31,31----,892,21134,G,430880,G,1885383,G
06097,42,42----,560,8689,G,192429,G,788636,G
06097,44,44----,1643,23004,G,238714,G,992327,G
06097,48,48----,258,5087,G,111263,H,477370,H
06097,51,51----,201,2642,H,52702,H,210911,H
06097,52,52----,623,6791,H,238775,H,829299,H
06097,53,53----,730,2883,G,46907,G,196771,G
06097,54,54----,1653,9303,G,191393,G,861190,G
06097,55,55----,62,1677,G,54551,G,192418,G
06097,56,56----,836,12271,G,148396,G,600374,G
06097,61,61----,209,2683,G,40941,H,152930,G
06097,62,62----,1671,28928,H,546812,H,2236054,H
06097,71,71----,309,3912,G,31237,G,135912,H
06097,72,72----,1336,23119,G,189131,G,840994,G
06097,81,81----,1214,7634,G,84778,G,368033,G
06097,99,99----,13,21,J,166,J,1183,G
06099,TOTAL,------,10013,152942,G,2220601,G,9000922,G
06099,11,11----,68,1373,G,14492,G,71966,G
06099,21,21----,4,63,H,1661,H,7630,H
06099,22,22----,12,308,J,15191,J,48095,J
06099,23,23----,1044,8984,G,141254,G,638792,G
06099,31,31----,394,20985,G,377011,G,1449881,G
06099,42,42----,442,8064,G,177615,H,641215,H
06099,44,44----,1477,24474,G,240202,G,1003711,G
06099,48,48----,641,8997,G,141192,G,595889,G
06099,51,51----,119,1161,G,17859,G,68669,G
06099,52,52----,507,3201,G,77723,G,263273,G
06099,53,53----,488,1772,H,24744,H,101370,G
06099,54,54----,730,6265,G,95877,G,416015,G
06099,55,55----,42,1128,H,43067,H,122908,H
06099,56,56----,495,7486,G,82054,G,340364,G
06099,61,61----,109,1750,G,14859,H,62576,H
06099,62,62----,1259,29289,G,571302,H,2397602,H
06099,71,71----,121,1811,G,11702,G,49315,G
06099,72,72----,1071,18716,G,110163,G,453825,G
06099,81,81----,980,7004,G,61321,G,262415,G
06099,99,99----,10,111,H,1312,H,5411,H
06101,TOTAL,------,2243,23969,G,308616,G,1306453,G
06101,11,11----,25,207,H,1674,H,18459,G
06101,22,22----,10,290,J,15707,J,50833,J
06101,23,23----,209,1387,G,21894,G,108418,G
06101,31,31----,50,1660,G,26207,G,104426,G
06101,42,42----,81,1551,G,29978,G,124632,G
06101,44,44----,279,4591,G,45070,G,183275,G
06101,48,48----,417,1725,H,18995,G,91995,G
06101,51,51----,19,338,G,4740,H,17675,H
06101,52,52----,107,732,G,14996,G,51134,G
06101,53,53----,96,625,G,8423,G,33927,G
06101,54,54----,128,653,G,8073,G,40349,G
06101,55,55----,7,245,H,4520,H,19035,H
06101,56,56----,118,1182,H,12031,G,53873,G
06101,61,61----,16,382,H,5085,G,20999,G
06101,62,62----,278,3977,G,62575,G,269296,G
06101,71,71----,35,262,G,1474,G,5556,G
06101,72,72----,192,3276,G,18933,G,78416,G
06101,81,81----,176,886,G,8241,G,34155,G
06103,TOTAL,------,999,13620,G,203500,H,789777,H
06103,11,11----,22,562,G,7773,H,36804,G
06103,22,22----,5,105,J,5322,J,19110,J
06103,23,23----,138,724,H,16081,H,84416,H
06103,31,31----,43,1791,H,35641,H,120972,H
06103,42,42----,25,454,H,15169,H,48301,H
06103,44,44----,153,2201,G,21085,G,83988,G
06103,48,48----,59,1891,J,39248,J,132193,J
06103,51,51----,15,120,H,2065,H,7195,H
06103,52,52----,48,150,J,2818,H,10296,G
06103,53,53----,45,103,J,1141,H,6103,H
06103,54,54----,52,309,G,2714,G,11793,G
06103,56,56----,35,279,H,3055,H,13710,H
06103,61,61----,7,18,J,79,G,479,G
06103,62,62----,135,2333,G,29541,H,121921,H
06103,71,71----,11,105,G,489,G,2179,H
06103,72,72----,120,1935,H,14931,H,64266,H
06103,81,81----,80,473,G,5307,G,21771,G
06105,TOTAL,------,234,1426,G,18259,G,66526,G
06105,11,11----,3,7,G,63,J,744,J
06105,22,22----,4,10,G,134,G,385,H
06105,23,23----,24,48,H,662,H,3659,H
06105,31,31----,7,171,H,5197,J,14094,J
06105,42,42----,3,1,G,9,J,106,G
06105,44,44----,44,351,G,2727,G,10854,G
06105,48,48----,8,11,G,185,H,1300,H
06105,51,51----,4,24,H,286,H,1196,H
06105,52,52----,8,35,J,504,G,1732,G
06105,53,53----,8,10,J,89,H,565,H
06105,54,54----,15,88,J,1155,H,6922,H
06105,56,56----,7,39,J,544,J,2124,J
06105,62,62----,22,272,J,4667,J,12619,J
06105,71,71----,10,59,H,292,H,1583,H
06105,72,72----,42,228,G,1157,G,5950,G
06105,81,81----,21,58,J,381,H,1495,G
06107,TOTAL,------,7189,107492,G,1377781,G,5663553,G
06107,11,11----,98,872,G,12976,G,61977,G
06107,21,21----,6,78,J,1236,H,5698,H
06107,22,22----,30,572,J,24786,J,88374,J
06107,23,23----,721,6266,G,82702,G,373336,G
06107,31,31----,231,14128,G,241120,G,952229,G
06107,42,42----,384,6198,G,111968,G,469570,G
06107,44,44----,1102,17040,G,146776,G,595998,G
06107,48,48----,377,9212,G,150544,G,614673,G
06107,51,51----,93,1004,G,15054,G,57934,G
06107,52,52----,364,2279,H,49897,H,171763,G
06107,53,53----,383,1338,G,15943,G,66055,G
06107,54,54----,460,2446,G,34643,G,154661,G
06107,55,55----,12,546,J,7427,H,37704,H
06107,56,56----,357,6910,H,64507,H,234938,H
06107,61,61----,53,1340,H,17160,H,68655,H
06107,62,62----,1048,19972,G,287169,G,1221970,G
06107,71,71----,64,1476,H,11869,H,56208,H
06107,72,72----,762,12116,G,68805,G,287852,G
06107,81,81----,637,3688,G,33115,G,143584,G
06107,99,99----,7,11,G,84,G,374,G
06109,TOTAL,------,1266,12548,G,155841,G,679453,G
06109,11,11----,22,126,H,2097,G,11972,G
06109,21,21----,4,79,J,1475,J,6058,J
06109,22,22----,13,110,J,4812,J,15897,J
06109,23,23----,192,824,G,12644,H,63539,H
06109,31,31----,53,749,H,14440,H,53686,H
06109,42,42----,22,102,H,1523,H,5508,H
06109,44,44----,163,2323,H,21725,H,88570,G
06109,48,48----,19,78,G,1172,G,5155,G
06109,51,51----,15,145,H,2299,H,9181,H
06109,52,52----,51,212,H,3127,H,13361,H
06109,53,53----,71,202,G,2589,H,10613,H
06109,54,54----,96,460,G,6610,G,27460,G
06109,56,56----,68,395,G,4444,G,18384,G
06109,61,61----,12,173,G,1522,G,6520,G
06109,62,62----,169,2890,J,46143,J,213048,J
06109,71,71----,25,1062,G,9489,G,39736,H
06109,72,72----,163,2050,G,14229,G,67286,G
06109,81,81----,106,565,G,5433,H,23332,H
06111,TOTAL,------,22992,273697,G,4672235,G,18174515,G
06111,11,11----,89,913,G,11662,G,54901,G
06111,21,21----,34,695,H,19406,H,74734,H
06111,22,22----,50,798,J,34906,J,122406,J
06111,23,23----,2387,17624,G,272631,G,1193289,G
06111,31,31----,868,25188,G,483032,G,2038358,G
06111,42,42----,1106,16042,G,415659,G,1519041,G
06111,44,44----,2552,38447,G,385252,G,1573658,G
06111,48,48----,506,8152,H,112448,H,493355,H
06111,51,51----,515,5050,G,114397,H,439489,H
06111,52,52----,1263,12804,G,413466,G,1466299,H
06111,53,53----,1307,4660,G,88663,G,330301,G
06111,54,54----,3100,22084,G,853299,H,2750950,H
06111,55,55----,100,4598,G,184726,G,651710,G
06111,56,56----,1266,16203,G,202078,G,829680,G
06111,61,61----,325,7017,H,68346,G,282974,G
06111,62,62----,3270,43358,G,644208,G,2788201,G
06111,71,71----,635,4805,G,35605,G,170812,G
06111,72,72----,1801,34775,G,234061,G,981409,G
06111,81,81----,1798,10471,G,98274,G,412073,G
06111,99,99----,20,13,J,116,H,875,G
06113,TOTAL,------,4509,74652,G,1117793,G,4696266,G
06113,11,11----,24,463,J,5565,H,58076,J
06113,21,21----,12,169,H,3261,H,15587,G
06113,22,22----,5,944,J,42385,J,136317,J
06113,23,23----,424,4980,G,101992,G,481266,G
06113,31,31----,193,7623,G,122522,G,516464,G
06113,42,42----,294,8774,G,184606,G,682810,G
06113,44,44----,481,8425,G,83272,G,327357,G
06113,48,48----,248,7900,G,112590,H,482837,H
06113,51,51----,72,925,G,18951,G,74164,G
06113,52,52----,160,1023,H,24218,H,90786,H
06113,53,53----,308,1698,G,25610,G,100924,G
06113,54,54----,508,4099,G,80927,G,338260,G
06113,55,55----,24,1223,H,29476,H,140085,J
06113,56,56----,220,2756,G,36123,G,184931,H
06113,61,61----,63,745,H,5953,H,28751,H
06113,62,62----,500,9052,G,124917,H,539024,H
06113,71,71----,82,1239,G,6160,G,29721,G
06113,72,72----,464,9601,G,76909,H,330661,H
06113,81,81----,420,2985,G,32217,G,137526,G
06113,99,99----,7,28,G,139,G,719,G
06115,TOTAL,------,915,12800,G,178473,G,734013,G
06115,11,11----,8,25,J,267,J,2176,J
06115,21,21----,7,95,H,1914,H,9696,H
06115,22,22----,4,23,J,358,J,1513,J
06115,23,23----,133,1101,G,25521,H,101792,H
06115,31,31----,41,754,H,11421,H,45438,H
06115,42,42----,27,672,H,7340,G,31611,G
06115,44,44----,132,1644,H,15779,H,58229,H
06115,48,48----,60,407,H,5115,H,21816,H
06115,51,51----,7,50,J,1070,H,3444,H
06115,52,52----,29,112,H,1716,H,6503,G
06115,53,53----,45,156,G,2151,H,7820,H
06115,54,54----,72,565,G,12283,G,53571,G
06115,56,56----,39,549,G,7253,H,30926,G
06115,61,61----,10,714,H,8641,H,33081,H
06115,62,62----,94,2723,H,49233,H,212314,H
06115,71,71----,14,106,G,786,G,4931,G
06115,72,72----,104,2679,H,24253,H,94695,H
06115,81,81----,87,420,G,3326,G,14269,G
08001,TOTAL,------,11319,207227,G,3236600,G,13230180,G
08001,11,11----,5,21,J,124,G,555,G
08001,21,21----,30,1370,J,44144,J,169039,J
08001,22,22----,19,1326,J,40683,J,168440,J
08001,23,23----,1871,24532,G,451006,G,1921530,G
08001,31,31----,454,14282,G,259627,G,1054581,G
08001,42,42----,761,18994,G,406498,G,1544535,G
08001,44,44----,1248,26792,H,273803,H,1123590,H
08001,48,48----,680,29914,G,405764,G,1610076,G
08001,51,51----,169,1913,H,45868,G,193099,G
08001,52,52----,514,3762,G,90375,G,273110,G
08001,53,53----,699,3283,G,52366,G,228503,G
08001,54,54----,997,7939,G,202693,G,792799,G
08001,55,55----,46,1098,G,32528,H,124087,G
08001,56,56----,642,10564,G,126843,G,555964,G
08001,61,61----,138,1786,G,17150,G,73845,G
08001,62,62----,946,30319,G,540909,H,2384454,H
08001,71,71----,141,1984,G,14141,G,60120,G
08001,72,72----,934,19846,G,145096,G,587857,G
08001,81,81----,1019,7497,G,86955,G,363823,G
08001,99,99----,6,5,J,27,H,173,G
08003,TOTAL,------,486,5956,G,66487,G,279195,G
08003,22,22----,4,64,H,1621,J,7263,J
08003,23,23----,44,320,H,5149,H,20570,H
08003,31,31----,18,115,G,912,G,3918,G
08003,42,42----,19,254,G,3787,H,13808,G
08003,44,44----,76,1137,H,10837,H,43777,H
08003,48,48----,17,119,G,2292,H,10202,H
08003,51,51----,14,107,H,1903,H,6205,H
08003,52,52----,25,271,H,4747,H,19477,H
08003,53,53----,20,86,H,862,G,3671,G
08003,54,54----,37,175,G,2281,G,10650,H
08003,56,56----,17,136,H,983,H,4414,H
08003,61,61----,6,94,J,663,J,2740,J
08003,62,62----,75,1733,H,22194,H,94482,H
08003,71,71----,9,64,J,310,H,1472,H
08003,72,72----,57,868,G,4113,G,19538,G
08003,81,81----,45,247,H,1985,G,8452,G
08005,TOTAL,------,20137,321810,G,6642720,G,24538162,G
08005,11,11----,4,40,J,1063,J,3681,H
08005,21,21----,60,559,G,24088,H,72899,G
08005,22,22----,18,710,J,29133,J,83584,J
08005,23,23----,1981,24666,G,531032,G,2130099,G
08005,31,31----,384,6633,G,123337,G,481433,G
08005,42,42----,737,10686,G,360043,H,1119771,G
08005,44,44----,1832,33241,G,358827,G,1485739,G
08005,48,48----,458,6235,G,82797,G,345201,G
08005,51,51----,488,23018,H,993194,H,3004949,H
08005,52,52----,1616,22656,G,784423,G,2494545,G
08005,53,53----,1569,8104,G,143796,G,592519,G
08005,54,54----,3019,30001,G,800473,G,3231179,G
08005,55,55----,162,24008,H,656266,H,2355052,H
08005,56,56----,1159,24617,G,350248,G,1428901,G
08005,61,61----,361,6148,G,83846,G,318985,G
08005,62,62----,2651,52014,G,797009,G,3339803,G
08005,71,71----,308,5559,G,142874,J,467381,J
08005,72,72----,1551,29529,G,205202,G,866240,G
08005,81,81----,1766,13346,G,174777,G,715662,G
08005,99,99----,13,40,J,292,G,539,G
08007,TOTAL,------,576,4204,H,39725,H,165151,H
08007,11,11----,4,24,J,295,J,1112,J
08007,21,21----,4,13,J,256,J,941,J
08007,23,23----,108,361,H,4143,G,19955,G
08007,31,31----,19,69,H,579,H,2232,H
08007,42,42----,10,27,H,292,G,1441,G
08007,44,44----,84,837,H,7344,H,31043,H
08007,48,48----,10,24,J,233,J,1250,J
08007,51,51----,12,52,H,454,G,1576,G
08007,52,52----,21,83,H,1329,G,4832,G
08007,53,53----,61,243,H,2288,H,8993,G
08007,54,54----,45,112,G,1128,G,5439,G
08007,56,56----,22,120,H,957,H,4560,H
08007,61,61----,5,66,G,404,H,1679,H
08007,62,62----,34,589,J,7719,J,33745,J
08007,71,71----,20,393,J,3996,J,9594,J
08007,72,72----,68,938,G,6320,G,28227,G
08007,81,81----,46,245,G,1827,G,8025,G
08009,TOTAL,------,87,584,G,5348,G,23244,G
08009,21,21----,3,4,J,24,H,131,H
08009,23,23----,10,42,J,415,J,1719,J
08009,42,42----,13,84,H,943,H,3675,G
08009,44,44----,14,99,H,732,H,3304,G
08009,48,48----,4,14,J,212,H,968,H
08009,52,52----,7,18,J,251,G,1128,G
08009,54,54----,4,9,J,72,H,284,H
08009,56,56----,3,11,J,83,J,370,J
08009,62,62----,6,230,H,2115,J,9400,J
08009,72,72----,6,41,G,153,G,664,G
08009,81,81----,12,19,G,92,H,370,G
08011,TOTAL,------,56,607,G,7118,G,28910,G
08011,22,22----,3,16,J,165,J,690,J
08011,44,44----,15,110,H,692,H,3023,H
08011,52,52----,5,47,J,594,G,2758,G
08011,53,53----,3,3,G,15,J,53,G
08011,62,62----,9,142,J,1201,J,5350,J
08011,72,72----,5,26,J,86,H,325,H
08011,81,81----,6,8,J,28,J,87,H
08013,TOTAL,------,12990,159619,G,3284436,G,13218639,G
08013,11,11----,20,122,G,1341,H,5818,H
08013,21,21----,19,123,G,2057,H,8465,G
08013,22,22----,22,244,G,6663,H,29167,H
08013,23,23----,824,5574,G,94568,G,408232,G
08013,31,31----,510,16153,G,344786,G,1365021,G
08013,42,42----,462,7732,H,263023,H,1005322,H
08013,44,44----,1139,18250,G,198496,G,805278,G
08013,48,48----,99,1833,G,21987,G,93842,G
08013,51,51----,373,13787,G,627874,G,2470354,G
08013,52,52----,711,3802,G,137284,G,441987,G
08013,53,53----,902,2766,G,42085,G,182595,G
08013,54,54----,2957,26246,G,768777,G,3204246,G
08013,55,55----,48,3215,G,88769,H,333218,H
08013,56,56----,574,6591,G,80407,G,348016,G
08013,61,61----,335,3959,G,43865,G,189877,H
08013,62,62----,1646,21175,G,343252,G,1380180,G
08013,71,71----,350,3458,G,23867,G,103841,G
08013,72,72----,929,17916,G,118078,G,518287,G
08013,81,81----,1059,6659,G,77099,G,324297,G
08013,99,99----,11,14,J,158,G,596,G
08014,TOTAL,------,2337,45136,G,1137808,G,4108980,G
08014,21,21----,3,10,J,145,J,559,J
08014,23,23----,146,3354,G,79436,G,359373,G
08014,31,31----,74,2771,G,60378,G,207409,G
08014,42,42----,93,2982,H,124769,J,321143,J
08014,44,44----,256,4313,H,37734,G,154469,G
08014,48,48----,33,825,G,14674,H,60096,H
08014,51,51----,98,6655,G,310089,G,1111269,G
08014,52,52----,125,1818,G,68397,H,215297,H
08014,53,53----,189,539,G,9606,G,39463,G
08014,54,54----,437,5684,H,153410,H,607414,H
08014,55,55----,22,4566,H,150774,G,487271,G
08014,56,56----,130,1824,G,24423,H,102494,H
08014,61,61----,58,1051,G,9932,G,45655,G
08014,62,62----,247,3290,G,51063,G,218853,G
08014,71,71----,37,540,G,2648,G,12387,G
08014,72,72----,188,3718,G,26296,G,108769,G
08014,81,81----,193,1170,G,13714,G,55948,G
08014,99,99----,6,22,G,179,H,545,G
08015,TOTAL,------,1076,7171,G,81535,G,352342,G
08015,22,22----,3,73,J,1840,J,8186,J
08015,23,23----,178,700,G,12369,H,52046,H
08015,31,31----,33,359,J,5190,H,19414,H
08015,42,42----,18,73,G,905,G,3722,G
08015,44,44----,157,1405,G,12634,G,54550,G
08015,48,48----,13,81,G,1143,H,4776,H
08015,51,51----,19,108,G,1191,G,4438,H
08015,52,52----,43,210,H,3526,G,14361,G
08015,53,53----,99,253,H,2327,H,10652,H
08015,54,54----,116,246,H,3849,G,18648,G
08015,56,56----,35,87,J,978,G,8262,H
08015,61,61----,15,135,H,698,G,3065,G
08015,62,62----,89,1162,H,17780,H,75872,H
08015,71,71----,40,597,H,4478,H,15803,H
08015,72,72----,127,1337,G,9361,G,44136,G
08015,81,81----,85,303,G,2712,G,11537,G
08017,TOTAL,------,59,358,G,5779,G,22422,G
08017,21,21----,7,82,J,1850,G,5009,H
08017,23,23----,4,6,G,65,H,388,H
08017,42,42----,6,41,H,941,G,3719,G
08017,44,44----,8,26,J,250,J,1176,J
08017,48,48----,5,24,H,635,H,2329,H
08017,52,52----,3,9,J,85,J,796,J
08017,54,54----,5,6,J,32,J,254,J
08017,62,62----,4,90,J,1100,J,5138,J
08017,72,72----,3,14,G,38,H,137,H
08017,81,81----,4,4,J,23,G,116,G
08019,TOTAL,------,340,3044,G,46577,H,159054,H
08019,21,21----,3,541,J,23012,J,65996,J
08019,23,23----,40,96,G,1011,H,4549,H
08019,31,31----,8,115,J,1544,H,6265,H
08019,42,42----,16,43,H,509,H,2175,H
08019,44,44----,54,304,G,2552,G,11081,G
08019,48,48----,8,54,J,622,J,3187,J
08019,51,51----,3,2,J,50,J,230,H
08019,52,52----,7,16,G,193,G,568,G
08019,53,53----,25,45,H,603,G,2817,G
08019,54,54----,45,86,H,1631,J,8195,H
08019,56,56----,21,60,J,715,G,3202,G
08019,61,61----,5,26,J,224,J,1199,H
08019,62,62----,17,81,J,823,J,3589,J
08019,71,71----,17,810,J,6016,J,16131,H
08019,72,72----,58,654,G,5364,G,22635,G
08019,81,81----,11,75,H,667,H,2515,H
08021,TOTAL,------,123,813,G,8091,G,37252,G
08021,23,23----,22,105,G,1184,H,5080,H
08021,31,31----,11,70,H,751,J,3725,H
08021,44,44----,23,194,H,1509,G,6896,G
08021,48,48----,10,67,H,546,H,3281,H
08021,54,54----,6,50,J,466,J,1825,J
08021,56,56----,5,22,H,134,G,748,G
08021,62,62----,14,194,H,2683,H,11379,H
08021,72,72----,14,45,G,203,H,1846,H
08021,81,81----,9,29,J,222,J,834,H
08023,TOTAL,------,50,385,H,3744,H,16008,H
